time [Myr],wd1 [m],wd2 [m],wd3 [m],wd4 [m]
0.0,5.1,16.433333333333334,27.766666666666666,39.1
0.0002,5.028249947529899,16.373916663283904,27.739632421286885,39.106
0.0004,5.034236392447956,16.379916486638162,27.714264448400787,39.09196609192637
0.0006,4.959893366028981,16.385915140982643,27.688937679257954,39.07797570209281
0.0008,4.965893366028981,16.391730983369175,27.663801304847233,39.064011262580244
0.001,4.8912394506390955,16.39735155341996,27.669801304847233,39.070011262580245
0.0012,4.897239450639095,16.337662584231687,27.643165936889467,39.05652642705202
0.0014,4.903239450639095,16.3436624320077,27.649165936889467,39.04265967859201
0.0016,4.909239450639095,16.34966107896877,27.622568526824125,39.04865967859201
0.0018,4.913813076382625,16.355659968960115,27.628568526824125,39.05465967859199
0.002,4.907430537538094,16.36165874494929,27.634402050036407,39.060659678591975
0.0022,4.913430537538094,16.36765874494929,27.640402050036407,39.066659678591975
0.0024,4.919430537538094,16.30640181376842,27.616750581406688,39.07265967859196
0.0026,4.9254305375380945,16.24415460550035,27.593539623797408,39.07865967859196
0.0028,4.922158098936087,16.182721859805447,27.5674441518999,39.08465967859196
0.003,4.916995482549701,16.188721859805447,27.54147813261064,39.09019547145157
0.0032,4.922995482549701,16.194721859805448,27.51730272426522,39.096195471451566
0.0034,4.918850684432281,16.200720934125336,27.52330248784566,39.102195471451566
0.0036,4.914898705135001,16.206719879067688,27.509986125188703,39.108195471451566
0.0038,4.920898705135001,16.212719879067688,27.515985975827604,39.114195471451566
0.004,4.9268987051350015,16.218718815216647,27.521985975827604,39.100282322667496
0.0042,4.931698698774864,16.224718815216647,27.497392721123543,39.0859118753754
0.0044,4.937698698774863,16.230717859651197,27.503392721123543,39.07158639525989
0.0046,4.9346235760066355,16.236717859651197,27.509392721123543,39.07709963416012
0.0048,4.93937369625294,16.242717859651194,27.483588759105988,39.062745341234596
0.005,4.9379580855149925,16.248717859651194,27.489588759105988,39.04844796512463
0.0052,4.935114893921256,16.254717115027677,27.49558875910599,39.03419266593349
