time [Myr],sc1_f1 [m],sc1_f2 [m],sc1_f3 [m],sc2_f1 [m],sc2_f2 [m],sc2_f3 [m],sc3_f1 [m],sc3_f2 [m],sc3_f3 [m],sc4_f1 [m],sc4_f2 [m],sc4_f3 [m],sc5_f1 [m],sc5_f2 [m],sc5_f3 [m],sc6_f1 [m],sc6_f2 [m],sc6_f3 [m],sc7_f1 [m],sc7_f2 [m],sc7_f3 [m],sc8_f1 [m],sc8_f2 [m],sc8_f3 [m],sc9_f1 [m],sc9_f2 [m],sc9_f3 [m],sc10_f1 [m],sc10_f2 [m],sc10_f3 [m],sc11_f1 [m],sc11_f2 [m],sc11_f3 [m],sc12_f1 [m],sc12_f2 [m],sc12_f3 [m],sc13_f1 [m],sc13_f2 [m],sc13_f3 [m],sc14_f1 [m],sc14_f2 [m],sc14_f3 [m],sc15_f1 [m],sc15_f2 [m],sc15_f3 [m],sc16_f1 [m],sc16_f2 [m],sc16_f3 [m],sc17_f1 [m],sc17_f2 [m],sc17_f3 [m],sc18_f1 [m],sc18_f2 [m],sc18_f3 [m],sc19_f1 [m],sc19_f2 [m],sc19_f3 [m],sc20_f1 [m],sc20_f2 [m],sc20_f3 [m],sc21_f1 [m],sc21_f2 [m],sc21_f3 [m],sc22_f1 [m],sc22_f2 [m],sc22_f3 [m],sc23_f1 [m],sc23_f2 [m],sc23_f3 [m],sc24_f1 [m],sc24_f2 [m],sc24_f3 [m],sc25_f1 [m],sc25_f2 [m],sc25_f3 [m],sc26_f1 [m],sc26_f2 [m],sc26_f3 [m],sc27_f1 [m],sc27_f2 [m],sc27_f3 [m],sc28_f1 [m],sc28_f2 [m],sc28_f3 [m],sc29_f1 [m],sc29_f2 [m],sc29_f3 [m],sc30_f1 [m],sc30_f2 [m],sc30_f3 [m]
0.0,2.244539980236131,1.700231326410051,0.076661401809555,0.5734194655880366,0.8100842913299223,1.0146259299961886,0.0549059971334559,2.527407643435722,0.24078509975316673,0.046212621752393206,2.3748846061192195,0.12832288932161298,0.01925260147048174,0.7534909085540951,0.24210904541424022,0.0016784812141450737,1.5738901079752452,0.23897396230927806,0.00014934602732897886,2.645923907411475,0.18546561441195292,0.00013034714155118937,1.1270993626908032,0.5736593288545915,8.985544961459679e-5,2.0118813691334343,0.21439761140480745,1.6239945702371802e-5,1.9582649228241378,0.22797700897673978,8.07933959609997e-7,1.9734118499230813,0.1961037301771643,2.2395183371786704e-8,1.549398729118906,0.6654794351235307,1.27951288834921e-7,0.8906083333670707,0.6178846774762735,5.388982868714055e-8,1.4592484746228018,0.16943708751364486,8.544932966584641e-9,0.5934793530856769,0.6460748006857098,6.602887051150011e-10,0.830852235470437,0.46889306422992433,2.525238045530798e-10,0.6898264838764561,0.5215245814978028,8.633480999873419e-11,0.7328759174289224,0.38440516122506774,1.1521407680365416e-10,0.3623051910222838,0.2561597486721038,3.603230700772875e-11,0.260880700145214,0.1359350708480636,3.820754186162298e-12,0.347763672099466,0.26358118751233195,1.7769943621453901e-12,0.10510559659208803,0.3614229562711077,4.713560579858219e-13,0.13556881329880416,0.3501092102053538,9.10483267149992e-15,0.27423162440550053,0.4366158211548517,3.417444742271416e-14,0.2787544209434795,0.4000319797311856,1.1015954877953536e-14,0.17553828304045452,0.11203842092468365,1.3081484064043012e-15,0.142553696781626,0.3341499405317594,5.357739446352446e-16,0.07591427439214739,0.27317618021974527,8.434179970274738e-17,0.11193162276899787,0.14109117175541355,1.0058419392780818e-17,0.027486093995571052,0.6375495106781925
0.02,1.8632461561577132,1.6656722313120793,0.0,0.43356777550454934,1.7477668539469633,0.9443785356065872,0.09051499260463065,1.8386064662258912,0.6092140307688667,0.009751855490373927,1.7294232182100056,0.26298451904027653,0.0061872814545087095,1.9480987722678917,0.22870139550601676,0.0008278221535996264,1.6666449935147825,0.15945136608398106,0.0002529878524237381,1.931410494851716,0.5057731147535791,2.781656964406644e-5,1.8855444635194716,0.7015795784342007,1.3803705081139293e-5,1.167087825947382,0.608604832882146,3.6913184481141857e-6,1.3701684762580804,0.48332458879756723,5.134717286701063e-7,0.8010709378219144,0.5929811619379507,5.294547239087656e-7,0.37216104870878597,0.3651770546168612,8.339886321228781e-8,0.7799993685069319,0.3624166714118071,1.3271764936791099e-8,0.6463779006417091,0.2983796799610635,4.10135865742548e-9,0.25698120427613047,0.3485885034420454,1.3831941674505932e-9,0.0,0.3267419932378964,1.8746743375875324e-10,0.1344530425204586,0.3321580478933706,4.7088468337778134e-11,0.2673249845824623,0.2108163672536721,3.49405710468943e-12,0.45157060702518464,0.22802021533143732,1.169157266044105e-12,0.3127754187772877,0.485752182791347,2.440183655392638e-13,0.4582349719673502,0.1769140779785566,2.0710351200486078e-14,0.238383597085702,0.4609329547398793,1.7962980156498562e-14,0.0008243343141024347,0.791065731653129,6.9084924963085884e-15,0.10848566372877928,0.5596785756725716,6.669734820257869e-16,0.19562661522145658,0.25522096608323264,5.985885356231913e-16,0.15359142804637957,0.02932714572945221,8.820661165283091e-17,0.018075169775683155,0.7802090592193929,4.865448695991608e-17,0.08214286641811927,0.43825596231624997,8.65614336848234e-18,0.03283988798603127,0.6079641517787234,2.3386055331385232e-18,0.00536286291304109,0.51651544588822
0.04,0.4221803776533501,1.2485411793420136,0.2931619749293408,0.0019486461152033185,2.910162937811286,0.4679162144894437,0.06217269496232525,2.678223418136585,0.16912386526683684,0.03910633457518805,1.5118415158124325,0.18153025383316762,0.0014909710507870662,1.9412006304937683,0.15546696568929982,0.00132875837146958,2.230592355028156,0.05805010523908199,0.0006447831825961522,1.840962640495368,0.39224890033837745,9.621050347850364e-5,2.4842004325246534,0.13884045531253383,1.607464166819784e-5,1.3009289931750398,0.2892018273122031,4.207762287850425e-6,1.0196980493219308,0.3200064844705198,6.615715117785761e-7,1.189630431822478,0.26229747448235124,1.1344721685678742e-7,1.1153478906973937,0.12094145349013119,3.447392838697471e-8,0.4050495744165813,0.31629386376880797,2.4743410786044456e-9,0.35139075087560667,0.2638651297725663,9.68738353562587e-10,0.5976095131885503,0.2075103176589465,1.8815697932392733e-10,0.2502133129391711,0.32173616934134314,8.011357584403661e-11,0.09114395861152777,0.18564485037974157,7.42936051953938e-12,0.2507516818254244,0.490095629111968,1.0272995477923384e-12,0.3258290160352072,0.2838627747860876,1.0332292193869335e-12,0.24885100135440408,0.495487157240407,1.2791337622875356e-13,0.12909237808381355,0.3344450850101635,1.0646899930272582e-14,0.3770759633685905,0.4120794436192529,9.730262579116837e-15,0.21480179713604344,0.021146473578832113,1.4369391344934487e-17,0.17866026173480157,0.402912088268055,6.334738482334604e-16,0.0887838393055761,0.1632434357010226,1.213113837866966e-16,0.10616031398480753,0.05063479090244446,1.3464919564397733e-17,0.08355146077612956,0.2224917044352927,7.277107516164661e-18,0.04590639475804385,0.5856053477130971,3.652442907371985e-19,0.080909243825726,0.5090373514548076,7.16404783871119e-19,0.06101570405708636,0.3413725749329463
0.06,0.11491713481787964,0.4234585495193066,0.4990534107685003,0.905577266737197,1.1068723366198523,0.5078267466128586,0.06880595268853644,2.3592363685919597,0.13139770801445447,0.03848946724224725,2.01977985061801,0.0,0.004941844883528669,1.9856458494731626,0.0,0.0018159216556172325,2.1632365499547994,0.0,0.0013066897344491903,1.916832212099151,0.0,0.00038111579360891113,1.042674501267627,0.0,2.280429273688225e-5,1.083254179881209,0.022367282738815435,7.533015612414457e-6,0.38539947313120865,0.24605122819403408,1.1884351569562794e-6,0.6309678293266846,0.25479992626827125,1.8953545715634373e-7,0.17853182761339415,0.45901193078457714,9.58470819898331e-9,0.5971421237645931,0.7144767112137411,2.3078040097166986e-9,0.9897193733568432,0.05407027197635052,2.3940635192947227e-10,0.6546378412524508,0.37155914979544546,3.7527289756040725e-11,0.35812203728618097,0.46811533723060644,1.6893649862941332e-11,0.3069229279094518,0.409823007338109,3.3296067591240454e-12,0.4065851091403166,0.1576061060817989,1.4716965993270303e-12,0.4003773882119718,0.41400258578139965,5.347107782689986e-13,0.03374754724170735,0.3221648329187288,7.102084274503878e-14,0.18404072166244148,0.3340695533611416,2.912383757556611e-14,0.0005824636029123295,0.6484285351125408,6.280939946746493e-15,0.03448366088713735,0.7057484660260188,5.295698082207339e-16,0.11072017694120712,0.29235356150381214,3.0746062664101627e-16,0.07303424333486455,0.24270814898559714,3.90882849927135e-17,0.05364631378026087,0.5035481039213264,1.3659185684134927e-17,0.08948636794885995,0.27191742454652107,1.2142279742874511e-18,0.05174181989396075,0.4209280785556467,1.0007914755933991e-18,0.03689459415752705,0.39104439239144395,3.449289653095859e-19,0.04611007869248738,0.26388083192471334
0.08,0.10190258520088433,0.0854740175686749,0.2242204096644024,0.44205223074707484,0.4874689485937084,0.27931555460272905,0.26504041832742486,0.5858134883438891,0.4306798484212663,0.01384649909117843,2.1013004707018452,0.378397012698995,0.0075120443812734475,0.7100283460389875,0.37572512983191564,0.0027551743686365063,0.8397600103104556,0.38921455788411363,0.004492199209859263,1.8816898967880562,0.0,0.0006266424380186574,1.8265184223599644,0.17205896064363316,1.3943211639317223e-5,1.3725871346209457,0.6315869701078834,7.807699178662671e-6,0.7925685080153388,0.45305429395446284,1.4795357118313735e-6,0.611705264090009,0.44890422341471975,1.8439114146549284e-7,0.0762383277825897,0.4962182255787802,1.2099222243443102e-8,0.9106661561132692,0.0403907819678858,2.369263105241654e-9,0.6266306793728668,0.1348348084616612,2.6344963386508197e-10,0.17788000982294708,0.5789706484143267,1.635482509659702e-10,0.3336832212224219,0.3657591496569546,1.1704671500764565e-11,0.4082297160623094,0.5106648839710956,7.476445146988227e-12,0.179216716784601,0.3021933496594195,6.46304218367157e-13,0.1033464742272996,0.6200678822200403,4.27022858729851e-13,0.06824206971999225,0.4164103854465208,1.1632984975571006e-13,0.022480190174606982,0.24595197784589348,1.646336244838887e-14,0.0,0.5605226603834403,1.5404329281805932e-15,0.09834984470092888,0.6036578508396796,5.873055627487524e-16,0.22275349915832335,0.19188403015070396,1.6032818746279805e-16,0.10935207752424128,0.12282483140186146,2.2119537022408114e-17,0.05300210689508592,0.4852192094953006,9.948365825572295e-18,0.015557974944351627,0.29441999642572214,2.4229694936213593e-18,0.027957490226467974,0.18789385925008473,1.4239741748724141e-18,0.006782618154467763,0.09874481114381961,1.5295001709019636e-19,0.06057577272244194,0.2902849869585567
0.1,0.11526937658652613,0.26146864256584024,0.12527302859468747,0.11549291250734278,0.24522796108566908,0.12036190252359855,1.0477674967476514,1.0475918424495674,0.5328624173041799,1.533712041578761,0.3554652116533572,0.1698205842623493,0.014296912848082113,0.6700897036391393,0.24577431659429191,0.008433030454339328,0.9126158619092419,0.4093410934129991,0.00802008621374186,0.9081019990686131,0.16160201277283598,0.0020147338390643587,0.8363665614364718,0.33168164144115103,6.593838231778132e-5,1.007223487564642,0.23548906858717591,1.6181067702235084e-5,1.1851032519987512,0.10899023665589841,2.4738008166802076e-6,0.8592863347971424,0.5151255385640219,8.706714930376671e-8,0.8713426059655565,1.176205203341668,5.091696524540885e-9,1.404539126845054,0.1564830060053504,7.663832254082769e-10,0.807419929474696,0.30036511832414103,9.31187817190165e-11,0.39705567134051917,0.6067034678231983,7.601931659643815e-11,0.8000670928078458,0.13925121674788576,3.3812038304816745e-11,0.4568778505166365,0.0,5.299942514283044e-12,0.4781189840638984,0.1977574687049657,2.5457022432093145e-12,0.00040138075281126743,0.33784693878507255,3.8905888933786787e-13,0.06092306994302292,0.2574227032933233,8.95383139425998e-14,0.0617835700568715,0.43549920163548816,2.5060222506194294e-14,0.0,0.6673661748688826,4.218590656683288e-15,0.018981736899623857,0.5761341224279581,1.381995051484005e-15,0.09377946078574692,0.23550270636770237,6.789248206573268e-17,0.13440238324429496,0.21598940141841289,4.518559894639276e-19,0.08159007489325477,0.7900084212040946,6.831653655586511e-18,0.09059228777475997,0.30799121418417635,1.4337053885405717e-18,0.06885447149558753,0.17751710973240883,2.1637131278756106e-19,0.03512428037984199,0.8213649461412232,1.667949320311775e-19,0.023446037566941972,0.5379356265759393
0.12,0.6222746407590093,0.34962230066031774,0.0,0.3646174330126855,0.5207451969692355,0.02058306507962768,0.1250481484569371,0.7547095799343593,0.09830247762316999,1.9953081701032815,0.557403772594421,0.5699361953293007,0.020063554602375536,1.6448265542828526,0.4796845262916292,0.00445731843500123,0.0,0.7662000270502166,0.005299615567861078,0.020540335582458966,0.35258753318180774,0.000861383411167904,0.37973837474887856,0.4572832166318492,6.886249713128178e-5,1.7456955955976434,0.1663883747621973,1.5068979615139114e-5,1.191292516376362,0.335081534787916,3.677809947896211e-6,0.18222008685884614,0.5417844832781537,8.437641263099992e-7,0.0033304541468111813,0.7152445857289518,5.973038200154189e-8,0.0,0.6325921978892215,9.407339598501339e-9,0.3511438726729368,0.41055261475149973,1.564198954636209e-9,0.6335868469791975,0.12347039245171083,1.2186891784243548e-10,0.7847018160245054,0.04976206098521868,9.182436948330847e-12,0.6982870730227636,0.14985295455352154,3.403784220420035e-12,0.3799209078708389,0.2491384482892754,3.606956311025845e-13,0.33287166132248336,0.36314210192995044,7.831647657251641e-14,0.2930317178151523,0.4496102413906911,2.4729496459547662e-14,0.062030199693182506,0.6718019528660631,9.519861754230415e-15,0.06227978556039904,0.7021486282548451,2.9933562094125673e-15,0.0643256716493311,0.5195806132566808,7.523860299428557e-16,0.03733432659260304,0.5430856003549084,8.142029969156909e-17,0.035127075648744455,0.667667902270392,2.520336015986027e-17,0.0359019885470822,0.44533655672282796,2.4023313430846425e-17,0.03513034480955259,0.5624186018613593,3.9344502373923266e-18,0.006267530145382426,0.4755125049790658,7.300639721890769e-20,0.0024277219595162853,0.7643914603047193,1.5438178120127063e-19,0.04882616399857075,0.2569317239058043
0.14,1.0477335762106315,0.2516882308330569,0.4003201244733328,1.1021608391208149,0.6065655232596406,0.1191664516435866,0.6602509951375986,0.802455331225898,0.3458213716452041,0.21719235147148558,2.248803532047604,0.21018564712533358,0.009538713753659875,1.4748656693290598,0.8483208041765005,0.003794925888289909,1.2234385948560946,0.9077139180105,0.0006715205475413694,0.9897915892267741,1.0283426995587825,0.0010200438052128016,1.85730222807902,0.47782290390980414,0.00017462392658046098,1.8476222321658051,0.35745636538234166,8.784582414128987e-6,1.683758393778121,0.2802803057286194,2.1134231380402407e-6,1.0785180649158086,0.41619269476862836,2.71549708911769e-7,0.6216702259410978,0.8114998722312117,8.655640155970239e-9,0.41824467208889377,0.7785825088100868,3.555062784739767e-9,0.6158679069990124,0.5303103077307723,3.1965187111035544e-10,0.34666558100528705,0.8242317384860286,4.2693491534345075e-11,0.61109194903051,0.10069589821471622,1.903486445053833e-11,0.272088129161696,0.26784298558140635,4.0947323261184754e-12,0.16357599574889145,0.39523968282782385,1.0215103488880418e-12,0.326512573318562,0.007458375512372286,1.3848439496715103e-13,0.21498478448202316,0.21555719704162105,3.2611847801291833e-14,0.03538163670035623,0.4219070573545116,1.0854661106678906e-14,0.12244248937488053,0.2469144926779756,2.03578340893779e-15,0.1654667375376052,0.09578089811565155,2.7941922081650684e-16,0.11865947567158233,0.3072959133621439,2.624942916967154e-18,0.13967206667185914,0.3336061547444157,0.0,0.09402311441173516,0.507991305215935,3.709913368955132e-18,0.1236102937099067,0.27517683653747266,1.0135157723922827e-18,0.0572266261378134,0.09561650796626697,2.8964842769948194e-19,0.057951150043999394,0.1962767564922209,2.3195962991527476e-20,0.062268172899768534,0.3858963156973979
0.16,1.7661337021152985,0.3858299758125486,0.3830605124485809,0.8200138493034408,1.664854698702858,0.23345367478965445,0.4394926688914515,2.0022390341712066,0.16088601129621277,0.0,1.5337527837037033,0.4840319739801426,0.014717070773486794,1.513517475587302,0.6486948173200257,0.0033115343927252613,0.7320865985644966,0.4619306796424676,0.00678252781089386,1.10394154708807,0.3618754643509459,0.0006112318681111508,2.1660208909474075,0.41238008910229895,0.00016037136079953643,1.0607248807445722,0.7293111341170756,1.167537176773784e-5,0.4942806152297284,0.690883721154574,6.967942392995011e-7,0.8441825142315548,0.49209550202770486,1.1917368968705872e-7,1.173595798752507,0.21823785803418008,1.1112368118275256e-8,0.8729994001557648,0.31462912506637847,1.0784993190213988e-9,0.8534721631706006,0.4422954458684213,3.5746184523177603e-10,0.57140056347291,0.4209026542878699,4.1610045041886454e-11,0.21368690065497517,0.520451080570944,4.365536886803913e-12,0.30247424260642936,0.6575726232205819,8.598507230940921e-13,0.4779359275576959,0.19058771732946259,4.025727629513979e-14,0.2120037770118551,0.4395638698194415,2.968331275621446e-14,0.11275604158546235,0.543497643525008,1.1096475688823136e-14,0.11546237507784617,0.5724048962942081,1.116816132385057e-15,0.18478305739078207,0.05212502803499612,7.697682469965694e-16,0.09620382663380388,0.0,1.4800214093728328e-16,0.07384351332234042,0.0,1.557614443178285e-17,0.08023306534492566,0.1301714652559746,4.825252653985262e-20,0.07278438601295263,0.33029432348887416,2.8555382918446825e-19,0.0644579868695261,0.44146688340701223,2.820010510579572e-20,0.0770252721644183,0.1441171047564976,4.343959218503579e-20,0.05016546014364391,0.21573318319609172,1.1546229444567406e-20,0.03655285319234516,0.2251916782579974
0.18,0.7894962493503944,0.15995576254771732,0.5623417374851665,1.0013569149291939,0.4827222216504376,0.4592901749525598,1.413631026519693,1.1300750291947672,0.49737892466461814,0.808261226149254,2.5641360300804172,0.14185050207808825,0.052580908455862656,2.164871793718367,0.2037645388672766,0.0054203041949995425,3.053636202763315,0.06339624670710681,0.0018165069721392411,1.696814775588012,0.2149809571105652,0.0016128089772826871,0.10464659004739273,0.27344821738722797,0.00019389119009225847,1.0876776753182895,0.45848039504309296,6.610577411266187e-6,0.44674096369900984,0.6099963126203448,3.5910351408006825e-7,0.49851483455275003,0.41412867075814347,4.2264648037737014e-8,0.18424742265963434,0.3320270047106443,5.641827800145577e-9,0.042205649379153574,0.5462598216792875,3.8482234868189317e-10,0.11945691485800072,0.6757285024045359,6.819817879788418e-11,0.09507398104142115,0.4472549055410728,6.710730233356027e-12,0.19532342377488018,0.33791362822293824,2.1860454097816608e-13,0.15042709280283645,0.6399682087844202,1.3846399499530268e-14,0.06571168450210602,0.9781885466893047,6.595610739706752e-15,0.16939953886092765,0.4017026855883182,3.096998689038403e-15,0.06223751455364514,0.5585566630682219,5.431044586114033e-16,0.024567823709105072,0.5633648388809442,1.42603565994213e-16,0.0035414356194855678,0.6849585874816334,7.88107426860785e-17,0.04544075832801651,0.10099695303848626,7.188732328840536e-18,0.0642846279194491,0.285267301349681,3.0459103654163783e-18,0.016725193770592905,0.667479940099639,4.790602739795118e-19,0.0050694985494886945,0.4360379153782423,1.7097994843040128e-19,0.0179640156643082,0.5340020147559609,3.130246616404815e-20,0.018720194892935194,0.4329065152565178,9.700095253774397e-21,0.02724704466118398,0.4597306249301702,9.814255502133406e-22,0.0244168070634388,0.1158539854475521
