time [Myr],sac1 [m],sac2 [m],sac3 [m],sac4 [m],sac5 [m],sac6 [m],sac7 [m],sac8 [m],sac9 [m],sac10 [m],sac11 [m],sac12 [m],sac13 [m],sac14 [m],sac15 [m],sac16 [m],sac17 [m],sac18 [m],sac19 [m],sac20 [m],sac21 [m],sac22 [m],sac23 [m],sac24 [m],sac25 [m],sac26 [m],sac27 [m],sac28 [m],sac29 [m],sac30 [m]
0.2,18.183728595832996,20.50959655383194,23.17044034793755,24.225731136664468,18.385459146749877,17.88399650234516,18.168321957797378,17.25624855368611,17.398787405144343,14.283018686293474,12.8039355258971,11.505909358070257,10.801464127666076,10.100567022314832,8.899637160571968,7.4770615903709725,7.1857826609259385,6.958046386843246,6.036444786340629,5.5488239432216755,5.46077736796888,5.891093850041285,4.638667500527692,4.53734822844478,4.3506552067018,4.521743701144701,4.705223274959378,3.743286111270459,4.6476524736695675,3.9674732273690108
0.22,21.358124129731095,23.84855626860498,25.74844188015064,27.146627385694693,21.413986134856792,21.379812324392258,20.443409167731076,19.119883823426136,18.148238386131,15.358771810077574,14.154020099744896,12.822729247402368,11.932880124449861,10.874652986888876,9.593699921875501,7.937471910812525,7.951511836772114,7.412777411641748,6.619285189730008,6.148145295530641,5.769419869071756,6.428658159336157,5.034794489307402,4.790841811920275,5.089446857852294,5.0916968736810055,4.9723408334199775,4.669172020406936,5.045868379954221,4.230148140194071
0.24,22.409653373485185,25.888350711405764,29.089359889436853,29.889819513524383,22.839740134333017,22.399211206894527,22.572971776785927,20.115720589700473,18.93933797601004,15.911136934290537,15.00928957536324,13.498489618028898,12.52908283033798,11.413041791368526,10.132755148921566,8.859663247735336,8.496884290313753,7.9615043958237806,7.07591855025371,6.61828631324931,6.3917778655451825,6.951385101539528,5.409519945167502,5.1767479649518,5.437426551670161,5.48847251473331,5.689323584654095,5.189667657036506,5.1948236480659595,4.953062891004229
0.26,25.96176007100717,29.337822943041406,30.98097948484986,32.50224145923579,25.64491447768732,23.859741670842123,23.073388988280502,21.844064417043196,20.547226179135098,17.33614357473018,15.505197662082479,13.796690413936737,13.108226902944914,11.76065845196049,10.307826011078213,9.145514419006673,9.00848813335612,8.601673259148537,7.694112283961192,7.352709433257084,6.9966071286977325,7.079404821051,5.745584598021781,5.79024868530674,5.756121945098598,5.807374780546555,6.235565999108963,5.461555922686043,5.778189715003078,5.437311762085188
0.28,28.372568412908226,30.10447344012373,31.688305787902905,33.42385547508284,29.01656207509754,26.83086177431909,24.431756841605754,22.546443790398815,22.329817649919786,18.141318970943768,16.314973102498545,14.611376872975184,13.578706605265891,12.01786975657687,10.634185907350853,9.466592803200106,9.698568000577787,8.873091609821133,8.164402491792005,7.714919563350999,7.413166373033492,7.533062313584726,6.180191594628658,6.337892499783797,6.407590579421405,6.153606421064219,6.259110546340987,5.98596606396822,6.329175300436534,6.148863658882551
0.3,28.546884879656144,30.22449825733731,31.900865563921656,33.55515044182126,33.416008047354474,29.53824922966086,26.613592845939785,25.324471895642798,24.417489180636444,19.79619322148409,17.37625560515815,15.083025728636775,14.053354065659791,12.65182704480291,10.890750841539884,9.724983142935892,9.881622448260211,9.121936614076073,8.309135686948029,7.8326467540768006,7.596234168335641,7.734508617117182,6.46890508257357,6.9462866823716425,7.198147958371393,6.821540472637603,6.636292396687858,6.153884133394293,6.656749750192025,6.791704098992731
0.32,28.546884879656144,30.22449825733731,31.900865563921656,33.55515044182126,35.10069469460094,31.297309804803245,28.671251002764645,27.61659402596802,27.07372514913994,21.83685564722982,18.287243374834215,15.654174629895566,14.307622264225257,13.228775337526104,11.407852096902333,10.02422814378348,10.282791910859546,9.803600485376581,8.89606158647904,8.447932085817534,8.117970243215547,8.295530460186521,6.994750246043075,7.515451114974264,7.564200641065207,7.207136689139156,6.757011299013474,6.359631333494739,7.068507344964663,6.883301532104548
0.34,29.072212222972887,30.749614702123985,32.50368488666249,34.09951948761185,35.75968118963951,35.26447793337539,30.92496081058669,29.535040634841756,29.03788324175639,23.522856184209168,19.861484400989568,17.118694105541778,15.577845817966365,13.896320023688777,11.864437755226122,10.30125312979378,10.801439999141776,10.615068362335908,9.292548610763925,8.566542976827797,8.26863182876483,8.513395906027268,7.5048449348727315,7.947424039106657,7.63956466418312,7.482387167855749,6.952879116277236,6.759876287463991,7.474812199216363,7.015118313600709
0.36,30.482783092322506,32.26092335434686,33.85696734509717,35.54093320860248,37.229726729915555,38.33757126321973,32.918092194727286,31.653065023916216,30.23208283692718,24.966140464784367,21.11097343073293,18.33328292343234,16.675107052531715,14.74328505864473,12.637922597128238,10.931576295069359,11.056080921210299,11.235072286362808,9.753019375464765,9.092136510860684,8.493034484896476,8.735452590856003,8.098569583024966,8.3250634098016,7.721398579791337,7.677584778972421,7.24991546607196,7.105267479225175,7.601126223718499,7.433212807229342
0.38,32.79803498188035,34.2288198604573,35.820339333106844,37.51187241171284,39.13849063870015,40.406976062525956,35.22636339139402,33.51385604319963,31.699064502086927,25.94156434318282,22.169495235636045,19.236915444929497,17.266734474312393,15.202968095659827,13.11213074289949,11.714252446862544,11.428748210068829,11.476354843999271,10.31065806331303,9.4993202823231,8.721826332520507,8.99535765117727,8.428889359509245,8.66599132493969,8.094465928876206,8.327454157576348,7.72660657363756,7.541313100515639,8.017218864272083,7.926897867252959
0.4,35.275693841889314,36.998077532918536,38.60084874092247,40.5677202543562,42.26262773142616,42.97581565553075,38.530548162931524,35.698027130259696,33.669608901945075,27.14719001968587,23.274924011763193,19.93660659875476,17.61509283220636,15.393511740442113,13.382036599679198,12.576198290232268,11.746247547794434,11.994579748256216,10.738236076422536,10.053576182703457,9.26948345817823,9.407963795418773,8.78117869601563,8.70567141429586,8.62919827315021,8.760536987291589,8.109993376067031,7.855849191600845,8.401179623038507,8.4155366821691
0.42,38.18179728773477,40.02192669981375,41.663865451101735,43.29508785336665,45.00747618732823,45.95855408340838,41.94601114796415,36.49083279192148,34.256534567870425,28.04347679064669,23.818389015415978,20.530123676892522,18.25253147274921,16.07755614529279,13.983401786190559,12.727093772676394,12.13843522964075,12.483343068544622,11.223913633789003,10.446890233831649,9.59740643011451,9.854007329347963,9.273810909447693,8.976415237193873,8.937964628147492,8.974603130082183,8.617042499688782,8.089562954229388,8.426554581270384,8.619252161804221
0.44,40.46171579855296,42.15064996615766,43.710116706951396,45.516010943960865,47.143911497579545,48.50385848250429,44.762455304891034,39.0384811586901,35.167078826154295,29.71644580864033,24.722268270387097,21.26186207841745,19.01225761487789,16.728672952571817,14.267753424675604,12.954311025605287,12.92167212129635,12.721619909700284,11.554350114080414,10.55708474262893,9.631792573977751,9.907026353685378,9.485382483641219,8.982892892068625,9.03882274879407,9.41654947118722,8.95279451600463,8.730688031030503,8.927311522994243,9.33605325994447
0.46,41.5606744121581,43.243664938749504,44.96184424742382,46.65669238816659,48.37502071072802,50.00170841313378,49.37754423011473,41.65622474733085,37.69487761432777,32.102323079019634,26.040139109909045,21.961058035185307,19.55289111083567,17.410323482187497,14.7511118363194,13.232653453856745,13.377454165691635,12.944369893878939,11.648635767863544,10.920446624264057,10.154838503965504,9.985503367116717,9.510974139209559,8.99603876870169,9.053552845508401,9.46526435735057,9.317377641731227,9.221170321696873,9.019187505687391,9.502602267814282
0.48,41.83920145470026,43.492617859199434,45.15464999104662,46.88447970930041,48.5295465037987,50.17589728915583,51.505975017695306,42.952711991330496,39.07240704954057,34.18832338546562,27.211571364393453,22.71855294699681,20.288817519507496,18.131792626901042,15.15896322784366,13.69945279024383,13.91432875286993,13.139999323866848,12.090033415721498,11.696705986714052,10.682796680392213,10.47755743708339,10.160469266818469,9.028912610050913,9.063819544776612,9.872517443709802,9.472010860418704,9.584930944204373,9.107551789496988,9.504304069508118
0.5,41.83920145470026,43.492617859199434,45.15464999104662,46.88447970930041,48.5295465037987,50.17589728915583,51.738198684783015,47.261116111499646,42.009798696850986,36.38072136418976,28.08551444616453,23.47305226620934,20.866931679318274,18.63456297084824,16.000671116096093,14.070939057493439,14.366310206957703,13.479500462144554,12.716831713454601,12.184091795579302,11.373283963877492,11.221402719211829,10.846861350391936,9.52826317839006,9.645365304464573,9.970505005104025,9.988807439282784,10.169012114018923,9.4067981090387,9.744072486854229
