time [Myr],adm1 [m],adm2 [m],adm3 [m],adm4 [m]
0.0,0.0,0.0,0.0,0.0
0.0002,0.07775005247010137,0.06359311160069159,0.033034245379780565,0.0
0.0004,0.07812505951307294,0.06359311160069159,0.06481545864557789,0.019367528482308636
0.0006,0.15895805083234596,0.06359311160069159,0.09605869983155918,0.039446029272423154
0.0008,0.15908688552703187,0.06359311160069159,0.1269456431114513,0.05925672820019884
0.001,0.2396683054032559,0.06359311160069159,0.1269456431114513,0.05925672820019884
0.0012,0.2396683054032559,0.12682324404785283,0.1593408250393571,0.07777416848168264
0.0014,0.2396683054032559,0.12682324404785283,0.1593408250393571,0.09486105888488425
0.0016,0.2396683054032559,0.12682324404785283,0.19194784141293048,0.09486105888488425
0.0018,0.24106121870594188,0.12682324404785283,0.19199048143601985,0.09486105888488425
0.002,0.2534967544528364,0.12682324404785283,0.19219414921487882,0.09486105888488425
0.0022,0.25362816560737733,0.12682324404785283,0.19240939235762036,0.09486105888488425
0.0024,0.25382649844562133,0.19361534588114915,0.22222115944615728,0.09486105888488425
0.0026,0.25402495929709606,0.26116484320002953,0.2513884536675935,0.09486105888488425
0.0028,0.26351593849453503,0.31560248009051384,0.28336400004019957,0.09486105888488425
0.003,0.2748434161835692,0.31560248009051384,0.3151640112583611,0.09578393537962769
0.0032,0.2750011605899087,0.31560248009051384,0.3449073780284208,0.09578393537962769
0.0034,0.2853257362295413,0.31560248009051384,0.3449073780284208,0.09578393537962769
0.0036,0.2954346228812823,0.31560248009051384,0.3621713193381683,0.09578393537962769
0.0038,0.29558175570189194,0.31560248009051384,0.3621713193381683,0.09578393537962769
0.004,0.29572946241557,0.31560248009051384,0.3621713193381683,0.11560931655141422
0.0042,0.2967850404600814,0.31560248009051384,0.39218055462164303,0.13670509689903082
0.0044,0.2967850404600814,0.31560248009051384,0.39218055462164303,0.157591872269641
0.0046,0.3060945607960364,0.31560248009051384,0.39218055462164303,0.15879467617116944
0.0048,0.3075640254223711,0.31560248009051384,0.4231325371125856,0.17981302737061114
0.005,0.3152295765720173,0.31560248009051384,0.4231325371125856,0.20062449092211126
0.0052,0.3242903822903015,0.31560248009051384,0.4231325371125856,0.22105927424051153
0.0054,0.33268260152684376,0.31560248009051384,0.4528922542215532,0.22105927424051153
0.0056,0.3328268706778447,0.31560248009051384,0.4528922542215532,0.24130521958442985
0.0058,0.3329718034585769,0.31560248009051384,0.47109397383789486,0.24130521958442985
0.006,0.3402324760306474,0.31560248009051384,0.49167127236953956,0.2578721687156932
0.0062,0.3472615522892714,0.31560248009051384,0.5107496996464432,0.2578721687156932
0.0064,0.3543924897136303,0.31560248009051384,0.5299381775565826,0.2578721687156932
0.0066,0.36207830173009387,0.31560248009051384,0.5482319266774965,0.276280659617693
0.0068,0.3705290493953149,0.31560248009051384,0.5482319266774965,0.276280659617693
0.007,0.3783144554433855,0.31560248009051384,0.5482319266774965,0.29460328253783574
0.0072,0.37835918869292234,0.31560248009051384,0.5783049819206879,0.29460328253783574
0.0074,0.38592843722117726,0.31560248009051384,0.5783049819206879,0.31312450554999294
0.0076,0.3863931007650995,0.31560248009051384,0.5795704752617793,0.31312450554999294
0.0078,0.39412839803381366,0.3189226642982994,0.6099761806265246,0.3217106566998903
0.008,0.39568325114744324,0.3845302925334589,0.6099761806265246,0.33027515316749473
0.0082,0.39568325114744324,0.384666372489557,0.6402179128477471,0.33027515316749473
0.0084,0.39568325114744324,0.38532261871276546,0.640312886748983,0.33132773697999407
0.0086,0.4764138179518018,0.3861717566004312,0.6404018024302232,0.34149043540701485
0.0088,0.5567189066710156,0.3861717566004312,0.6404874665051122,0.34149043540701485
0.009,0.6350458062072087,0.45877723280641086,0.6405699166798481,0.3623151339794596
0.0092,0.7108159218671023,0.459587114720832,0.6406525832113268,0.38153288928369306
0.0094,0.7852858702539257,0.45980318327830705,0.6407325269298056,0.4006776837169193
0.0096,0.785315696267626,0.46394242003928965,0.6703861801908813,0.4006776837169193
0.0098,0.7861757134942771,0.46510744937934834,0.6995530992979525,0.4006776837169193
0.01,0.8610278748808534,0.46627252813332465,0.6995530992979525,0.4006776837169193
0.0102,0.9341952995342616,0.4674296135064968,0.6995530992979525,0.4006776837169193
0.0104,1.0049177735116774,0.46857928490825224,0.7008233675296947,0.4190395874453196
0.0106,1.0049177735116774,0.4697225341201639,0.7008944696156176,0.4370684744888382
0.0108,1.009968682825726,0.4708579582911467,0.7009645622618996,0.4539145087630467
0.011,1.0141085194936084,0.4757699963549238,0.7024452901556515,0.4539145087630467
0.0112,1.0171424250744148,0.4809697420745227,0.7040160708030057,0.4539145087630467
0.0114,1.0171424250744148,0.48225944834245393,0.7056701309735276,0.4722575873093004
0.0116,1.0204905600203036,0.4835406266810003,0.707369664577173,0.49001265319655096
0.0118,1.0265564010588224,0.4889794840693636,0.7076747434261685,0.5095832742483519
0.012,1.0324930212883192,0.49469837454022475,0.7079759893663844,0.528390146547374
0.0122,1.0324930212883192,0.4961157179044476,0.7082734573368658,0.5473797218384816
0.0124,1.0367423793446575,0.49752208453136304,0.7085699423496455,0.5656151232210583
0.0126,1.0367423793446575,0.4989182346173524,0.7088657652341147,0.5849454086040698
0.0128,1.0409358092304515,0.5003030282115248,0.7091613093256627,0.6041115410931484
0.013,1.0409358092304515,0.5016772220050696,0.7094569289293512,0.6231080326104738
0.0132,1.1205808236581147,0.5030409402413635,0.7097561363029723,0.6372387805937612
0.0134,1.197281521443702,0.5043947684268643,0.7100526464278303,0.6372387805937612
