time [Myr],adm1 [m],adm2 [m],adm3 [m],adm4 [m],adm5 [m],adm6 [m],adm7 [m],adm8 [m],adm9 [m],adm10 [m],adm11 [m],adm12 [m],adm13 [m],adm14 [m],adm15 [m],adm16 [m],adm17 [m],adm18 [m],adm19 [m],adm20 [m],adm21 [m],adm22 [m],adm23 [m],adm24 [m],adm25 [m],adm26 [m],adm27 [m],adm28 [m],adm29 [m],adm30 [m],adm31 [m],adm32 [m],adm33 [m],adm34 [m],adm35 [m],adm36 [m],adm37 [m],adm38 [m],adm39 [m],adm40 [m]
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.3666606587350846,0.011666621576865259,0.3998217870099515,0.0,0.0,0.3951519070103229,0.12088752262440317,0.12014450994026481,0.34628131004998797,0.0,0.32136195124152195,0.0,0.10099296789649495,0.0,0.0009272228418529857,0.0,0.1545917483369068,0.09958142801961993,0.11166417092431997,0.10471581163052043,0.08711904624105705,0.011666326837583344,1.5330417737779595e-13,0.0,0.0542492053565654,0.03919283736827241,0.002633354566677352,2.3933845039627163e-17,0.11166045637532267,0.01166596973868419,0.0,0.06904088086535137,0.022022287382263084,0.00876726747969425,0.011665600464427616,0.0,0.09998908075722467,0.0,0.0,4.0688709415154127e-23
0.002,0.3725984425691549,0.03252051823096579,0.7599459475585695,0.535104753846527,0.12052562271686904,0.7100924055182402,0.27182817680318777,0.21416436521952853,0.6149688645833016,0.3710386203827378,0.5296032726478112,0.2778569040390554,0.2382131691301067,0.02000107843108717,0.0012078832623806093,0.016378650680192067,0.30976375387399885,0.09958142801961993,0.11396150250686014,0.10487921032446307,0.1759803727072805,0.137507529457528,1.5330417737779595e-13,0.00034464895331187846,0.11747860319186146,0.04482715019879471,0.03553959745595323,3.095234942877283e-17,0.2060313877159191,0.048506071073080304,0.0,0.06904088086535137,0.04065804242740914,0.011500838563980504,0.019285494219380698,0.013026477009658038,0.09998908075722467,0.0,0.0,5.441191309489972e-23
0.003,0.4343178874347193,0.19358811998848288,1.0315126366745127,0.557136746732617,0.2865361741002323,0.7100924055182402,0.4190382680385754,0.22494689130623394,0.8244541504910827,0.3710386203827378,0.5296032726478112,0.2778569040390554,0.38618564954478984,0.17561081461808667,0.019920361396120405,0.2189057716757347,0.4124541620500669,0.1109833028344376,0.12770874735261295,0.19653786363000753,0.2647296448474575,0.2332327731804363,2.8470023831703233e-13,0.053014516432610806,0.18021944412421687,0.05548825684778726,0.07090065010565862,0.09999480101443062,0.2800767081545284,0.09102164050514772,0.015174991890810901,0.06904088086535137,0.06496068498783,0.011500838563980504,0.04130798328507419,0.12626278721656112,0.20910966619276533,2.612585279667545e-22,0.10043861355838431,7.177350312003367e-23
0.004,0.5337250038998694,0.3266649488810561,1.2976167416804345,0.6767954646647201,0.4273883579905934,0.7141018866037874,0.47340856879623233,0.35516128613594855,1.0933020540642089,0.3710386203827378,0.5713172679189812,0.6063897776280449,0.4005662954028018,0.2962316596419431,0.34507238511149474,0.38743403463300574,0.4124541620500669,0.31885876415395564,0.1392248165841572,0.19653786363000753,0.3241243095916104,0.2332327731804363,3.7598190810574903e-13,0.11393456029596336,0.2415460866625947,0.10690640823269941,0.0742414647061709,0.17263696328571249,0.33875413610362776,0.11687184550474525,0.026923190190181346,0.06904088086535137,0.09104790054250485,0.011500838563980504,0.057603129109437975,0.1272262472597139,0.20910966619276533,0.011683790865263553,0.10043861355838431,9.261904183351655e-6
0.005,1.182057421498037,0.35003091922819696,1.4597968180117757,0.7548869879629981,0.4286891000510418,1.1753899915518022,0.4780610948377926,0.35718195591143065,1.3002204234378276,0.3710386203827378,0.5713172679189812,0.6070377513135556,0.7549601789781324,0.29913324033125877,0.574791226251637,0.542572613536993,0.48975804093960285,0.457487285318061,0.1549164347852459,0.28178518996572205,0.3241243095916104,0.2332327731804363,0.004758699996080402,0.11899989349682097,0.2817995201170146,0.14579665321934787,0.07689553101451217,0.2384485781198027,0.3717758928332283,0.14442900960661828,0.04868086843728359,0.07046071207756724,0.10365532565800217,0.011500838563980504,0.21366056317398174,0.12792476924166327,0.32779332489696167,0.030784944811728464,0.10043861355838431,4.397136626356752e-5
0.006,1.182057421498037,0.8699050890909454,1.5245597431772964,0.8643840761555076,0.5409779219230348,1.3461733929954725,0.6070542372482541,0.35897249587634195,1.4243512896800903,0.9594149570444592,0.5713172679189812,0.6071942590964724,0.9810371648488955,0.42722497873552284,0.574791226251637,0.6672407942342898,0.5486939244763013,0.457487285318061,0.17078958853814535,0.33300651801117853,0.4072459677322217,0.2374813735120304,0.008993502436749852,0.2208299223213479,0.33358694579075854,0.14999252726412277,0.07894097509738186,0.3179641657373002,0.3717758928332283,0.1549787200232035,0.08157049606604394,0.07295982708958454,0.12981023891371096,0.011500838563980504,0.21366056317398174,0.1287583997185069,0.32779332489696167,0.16247533585942842,0.10043861355838431,0.00012820574407350745
0.007,1.610513809978398,0.8809759350842098,1.5245597431772964,0.8657145025877759,0.5430446639513333,1.6510942947899394,0.6169134805739902,0.4788720843771051,1.4243512896800903,0.9594149570444592,0.5799445254775986,0.6071942590964724,1.162891730404077,0.44031672278343725,0.7067868960332078,0.8067434459394666,0.6305780996950575,0.5667599409214369,0.18881668635845278,0.33300651801117853,0.41504927992865787,0.23754729784890188,0.01325027603334709,0.3126013783543789,0.3847050983882132,0.18908462285780586,0.08043442861664912,0.3179641657373002,0.37437951354364374,0.18241788657708524,0.11602282355975421,0.07759842237465225,0.28410574706959274,0.011500838563980504,0.3160819743889968,0.2236810267507648,0.3398102597376053,0.259490117733327,0.10043861355838431,0.0002950642648741115
0.008,1.610513809978398,1.3792623563057544,1.5245597431772964,1.367696743939846,0.6598469074280771,1.8524632024137362,0.7411790232577087,0.5855358275702733,1.4297735631444781,0.9604875061154454,1.1081075030549443,0.6071942590964724,1.2726658751010753,0.6102783120008346,0.8016467636216055,0.8168440564942877,0.6891588657493363,0.5667599409214369,0.2037474331898542,0.38724362685846464,0.42512305415275925,0.24013339234509506,0.017538845931189175,0.3916876733567925,0.4142519627787016,0.22383819859886434,0.08142807414805725,0.3179641657373002,0.38195149716703347,0.3335029387080827,0.15556842292550355,0.08595192225072644,0.39382008254961987,0.011500838563980504,0.3160819743889968,0.22369136234042167,0.3413646748502014,0.3111670302231586,0.10043861355838431,0.0005877246029850545
0.009,1.823095086134476,1.6738581512547002,1.5245597431772964,1.367696743939846,0.7999180175291962,2.0762530462029773,0.7440232162147093,0.6626937578697688,1.4338645813625004,1.007893904958453,1.2289938446331503,0.7080074496240437,1.2726658751010753,0.7415681395637043,0.8016467636216055,0.8918291259757052,0.6891588657493363,0.6876456227498969,0.3357436959855335,0.38724362685846464,0.4365267296406829,0.24233319746326504,0.021873584065619962,0.47111587632571544,0.43390914351724397,0.22538771495900817,0.08188553896833375,0.3179641657373002,0.38553179548766203,0.33690773705248145,0.1964325618765516,0.08701612628923783,0.4552026697268504,0.011500838563980504,0.3160819743889968,0.33501033775992145,0.3632457393690654,0.3111670302231586,0.10043861355838431,0.0010610770211573622
